,Position,Track Name,Artist,Streams,URL,id,date,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,1,WAP (feat. Megan Thee Stallion),Cardi B,15520,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,4Oun2ylbjFKMPTiaSbbCih,2020-09-15,-za-,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,audio_features,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4
1,2,Mood (feat. iann dior),24kGoldn,13500,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,3tjFYV6RSFtuktYl3ZtYcq,2020-09-15,-za-,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,audio_features,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4
2,3,Laugh Now Cry Later (feat. Lil Durk),Drake,11555,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,2SAqBLGA283SUiwJ3xOUVI,2020-09-15,-za-,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,audio_features,spotify:track:2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,261493,4
3,4,ROCKSTAR (feat. Roddy Ricch),DaBaby,9901,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,7ytR5pFWmSjzHJIeQkgog4,2020-09-15,-za-,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,audio_features,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4
4,5,Xola Moya Wam',Nomcebo Zikode,9789,https://open.spotify.com/track/0CLyxycXWr4PP7PgeGRn8u,0CLyxycXWr4PP7PgeGRn8u,2020-09-15,-za-,0.807,0.703,1,-7.71,1,0.0514,0.036,0.0215,0.0491,0.617,113.992,audio_features,spotify:track:0CLyxycXWr4PP7PgeGRn8u,https://api.spotify.com/v1/tracks/0CLyxycXWr4PP7PgeGRn8u,https://api.spotify.com/v1/audio-analysis/0CLyxycXWr4PP7PgeGRn8u,304211,4
5,1,Toosie Slide,Drake,16246,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,127QTOFJsJQp5LbJbu3A1y,2020-04-15,-za-,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,audio_features,spotify:track:127QTOFJsJQp5LbJbu3A1y,https://api.spotify.com/v1/tracks/127QTOFJsJQp5LbJbu3A1y,https://api.spotify.com/v1/audio-analysis/127QTOFJsJQp5LbJbu3A1y,247059,4
6,2,Blinding Lights,The Weeknd,12318,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,2020-04-15,-za-,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
7,3,Roses - Imanbek Remix,SAINt JHN,11491,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,24Yi9hE78yPEbZ4kxyoXAI,2020-04-15,-za-,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,audio_features,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI,176840,4
8,4,The Box,Roddy Ricch,10418,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0nbXyq5TXYPCO7pr3N8S4I,2020-04-15,-za-,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4
9,5,Blueberry Faygo,Lil Mosey,8532,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,22LAwLoDA5b4AaGSkg6bKW,2020-04-15,-za-,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,audio_features,spotify:track:22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/tracks/22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/audio-analysis/22LAwLoDA5b4AaGSkg6bKW,162547,4
10,1,everything i wanted,Billie Eilish,2128318,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,2019-11-15,-us-,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,245426,4
11,2,ROXANNE,Arizona Zervas,1668339,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,696DnlkuDOXcMAnKlTgXXK,2019-11-15,-us-,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,163636,5
12,3,Circles,Post Malone,1299696,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,2019-11-15,-us-,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280,4
13,4,HIGHEST IN THE ROOM,Travis Scott,1202864,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,3eekarcy7kvN4yt5ZFzltW,2019-11-15,-us-,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,175721,4
14,5,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1058009,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,6Gg1gjgKi2AK4e0qzsR7sd,2019-11-15,-us-,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,audio_features,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,https://api.spotify.com/v1/tracks/6Gg1gjgKi2AK4e0qzsR7sd,https://api.spotify.com/v1/audio-analysis/6Gg1gjgKi2AK4e0qzsR7sd,189323,4
15,1,Gaiola É o Troco,MC Du Black,481959,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH,3Uq45ipGutypFPmETfaoaH,2019-10-15,-br-,0.722,0.84,10,-3.24,0,0.0785,0.42,0.0,0.112,0.851,150.108,audio_features,spotify:track:3Uq45ipGutypFPmETfaoaH,https://api.spotify.com/v1/tracks/3Uq45ipGutypFPmETfaoaH,https://api.spotify.com/v1/audio-analysis/3Uq45ipGutypFPmETfaoaH,187246,4
16,2,quando a bad bater - ao vivo,Luan Santana,477893,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ,5gvrBqNFFEWcxYPt3mamvJ,2019-10-15,-br-,0.648,0.789,1,-4.767,1,0.0414,0.304,0.0,0.532,0.53,128.124,audio_features,spotify:track:5gvrBqNFFEWcxYPt3mamvJ,https://api.spotify.com/v1/tracks/5gvrBqNFFEWcxYPt3mamvJ,https://api.spotify.com/v1/audio-analysis/5gvrBqNFFEWcxYPt3mamvJ,179722,4
17,3,Surtada - Remix Brega Funk,Dadá Boladão,467953,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,5F8ffc8KWKNawllr5WsW0r,2019-10-15,-br-,0.832,0.55,5,-7.026,0,0.0587,0.249,8.17e-06,0.182,0.881,154.064,audio_features,spotify:track:5F8ffc8KWKNawllr5WsW0r,https://api.spotify.com/v1/tracks/5F8ffc8KWKNawllr5WsW0r,https://api.spotify.com/v1/audio-analysis/5F8ffc8KWKNawllr5WsW0r,152784,4
18,4,Supera - Ao Vivo,Marília Mendonça,459550,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,3GmJxfnUDrIs1iCfKUELFz,2019-10-15,-br-,0.665,0.743,4,-4.434,1,0.0567,0.0604,0.0,0.959,0.658,131.573,audio_features,spotify:track:3GmJxfnUDrIs1iCfKUELFz,https://api.spotify.com/v1/tracks/3GmJxfnUDrIs1iCfKUELFz,https://api.spotify.com/v1/audio-analysis/3GmJxfnUDrIs1iCfKUELFz,147748,4
19,5,Hit Contagiante,Felipe Original,442661,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi,5dKesZwp6deuhEeW8F1UEi,2019-10-15,-br-,0.819,0.684,6,-7.169,0,0.119,0.132,0.0,0.0942,0.959,170.187,audio_features,spotify:track:5dKesZwp6deuhEeW8F1UEi,https://api.spotify.com/v1/tracks/5dKesZwp6deuhEeW8F1UEi,https://api.spotify.com/v1/audio-analysis/5dKesZwp6deuhEeW8F1UEi,137125,4
20,1,I Don't Care (with Justin Bieber),Ed Sheeran,41995,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,3HVWdVOQ0ZA45FuZGSfvns,2019-06-15,-sg-,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4
21,2,Boy With Luv (feat. Halsey),BTS,36015,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,5KawlOMHjWeUjQtnuRs22c,2019-06-15,-sg-,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,audio_features,spotify:track:5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/tracks/5KawlOMHjWeUjQtnuRs22c,https://api.spotify.com/v1/audio-analysis/5KawlOMHjWeUjQtnuRs22c,229773,4
22,3,If I Can't Have You,Shawn Mendes,32395,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,6LsAAHotRLMOHfCsSfYCsz,2019-06-15,-sg-,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,audio_features,spotify:track:6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz,190800,4
23,4,bad guy,Billie Eilish,30105,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,2019-06-15,-sg-,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
24,5,You Need To Calm Down,Taylor Swift,29686,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,29fRTIKsJhLUJoldM89GZS,2019-06-15,-sg-,0.768,0.678,2,-5.604,1,0.0505,0.00838,0.0,0.0596,0.706,85.025,audio_features,spotify:track:29fRTIKsJhLUJoldM89GZS,https://api.spotify.com/v1/tracks/29fRTIKsJhLUJoldM89GZS,https://api.spotify.com/v1/audio-analysis/29fRTIKsJhLUJoldM89GZS,171387,4
25,1,È sempre bello,Coez,273587,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX,6IdiuMw1FSAvU3e6bgWQVX,2019-04-15,-it-,0.692,0.63,8,-6.792,1,0.164,0.0732,0.0,0.0865,0.499,110.919,audio_features,spotify:track:6IdiuMw1FSAvU3e6bgWQVX,https://api.spotify.com/v1/tracks/6IdiuMw1FSAvU3e6bgWQVX,https://api.spotify.com/v1/audio-analysis/6IdiuMw1FSAvU3e6bgWQVX,203872,5
26,2,Per Un Milione,Boomdabash,262312,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w,5L1HQLXeih82ecmY0tOH7w,2019-04-15,-it-,0.741,0.744,7,-4.099,0,0.0472,0.103,0.0,0.0852,0.898,85.987,audio_features,spotify:track:5L1HQLXeih82ecmY0tOH7w,https://api.spotify.com/v1/tracks/5L1HQLXeih82ecmY0tOH7w,https://api.spotify.com/v1/audio-analysis/5L1HQLXeih82ecmY0tOH7w,174616,4
27,3,Con Calma,Daddy Yankee,261725,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,5w9c2J52mkdntKOmRLeM2m,2019-04-15,-it-,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4
28,4,Mademoiselle,Sfera Ebbasta,238484,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c,2aPnpV1hT7l3eP10uSGK6c,2019-04-15,-it-,0.794,0.702,6,-5.656,0,0.0346,0.0671,0.0,0.155,0.535,121.938,audio_features,spotify:track:2aPnpV1hT7l3eP10uSGK6c,https://api.spotify.com/v1/tracks/2aPnpV1hT7l3eP10uSGK6c,https://api.spotify.com/v1/audio-analysis/2aPnpV1hT7l3eP10uSGK6c,189344,4
