,CountryName,CountryCode,StartDate,EndDate,PolicyType,PolicyValue,Flag,InitialNote
695,Brazil,BRA,20200313,20200504.0,C6: Stay at home requirements,1.0,0.0,Ministry of Health recommends that in areas with community transmission people should avoid leaving their houses and work from home when possible: https://web.archive.org/web/20200426083651/https://www.saude.gov.br/noticias/agencia-saude/46540-saude-anuncia-orientacoes-para-evitar-a-disseminacao-do-coronavirus
708,Brazil,BRA,20200505,20200823.0,C6: Stay at home requirements,2.0,0.0,"First major city in Brazil (Sao Luis, the capital of Maranhao) declares lockdown, which forbids people from going outside except to obtain groceries, medication or cleaning supplies. The measure will initially be in place until May 14.    Link: https://web.archive.org/web/20200508111446/https://uk.reuters.com/article/health-coronavirus-brazil-lockdown/first-major-city-in-brazil-declares-lockdown-as-virus-spreads-idUKL1N2CN1KV"
713,Brazil,BRA,20200824,20200830.0,C6: Stay at home requirements,3.0,0.0,Sao Felix do Araguaia (MT) imposed a 7 days lockdown.    Link:  https://web.archive.org/web/20200915024317/https://g1.globo.com/mt/mato-grosso/noticia/2020/08/24/prefeitura-de-sao-felix-do-araguaia-mt-decreta-lockdown-e-toque-de-recolher.ghtml
715,Brazil,BRA,20200831,,C6: Stay at home requirements,2.0,0.0,In Teresina the city government determined lockdown on sundays.    Link:     https://web.archive.org/web/20200915023744/https://g1.globo.com/pi/piaui/noticia/2020/09/09/lockdown-parcial-sera-mantido-aos-domingos-em-teresina-anuncia-prefeito.ghtml  
2693,Italy,ITA,20200223,20200309.0,C6: Stay at home requirements,2.0,0.0,https://web.archive.org/web/20200409225704/https://www.la7.it/nonelarena/video/lelenco-dei-comuni-in-quarantena-a-causa-del-coronavirus-23-02-2020-308963    Localised quarantine in Lombardy 
2699,Italy,ITA,20200310,20200319.0,C6: Stay at home requirements,2.0,1.0,Nationwide Lockdown - everyone expected to stay at home except for exceptional trips  https://web.archive.org/web/20200409225920/https://www.bbc.co.uk/news/world-europe-51810673
2705,Italy,ITA,20200320,20200409.0,C6: Stay at home requirements,3.0,1.0,Stricter lockdown rules are introduced - exercise outside is forbidden  https://web.archive.org/web/20200425193834/http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4283
2707,Italy,ITA,20200410,20200503.0,C6: Stay at home requirements,2.0,1.0,Lockdown measures are relaxed slightly  https://web.archive.org/web/20200425194151/https://www.repubblica.it/cronaca/2020/04/10/news/coronavirus_giuseppe_conte_riaperture-253677426/?ref=RHPPTP-BH-I253671889-C12-P2-S2.4-T1&refresh_ce=
2711,Italy,ITA,20200504,20200726.0,C6: Stay at home requirements,1.0,1.0,"""A new government decree comes into force from May 4th, replacing the strict lockdown rules that had been in place nationwide for more than seven weeks. While it gives back some liberties, including going to the park and exercising outdoors, freedom of movement remains limited – especially over longer distances."" Source: https://www.thelocal.it/20200504/phase-two-what-changes-in-italy-from-may-4th"
2725,Italy,ITA,20200727,,C6: Stay at home requirements,0.0,,No current instruction to remain home. Exercise and recreation is permitted in public parks and spaces. Social distancing rules apply and masks are required in some regions.   https://web.archive.org/web/20200807040423/https://www.gov.uk/foreign-travel-advice/italy/coronavirus
4683,Singapore,SGP,20200403,20200407.0,C6: Stay at home requirements,1.0,1.0,"PM Lee Hsien Loong asks all residents to ""stay at home, as much as possible"" in address to the nation; https://web.archive.org/web/20200430224310/https://www.pmo.gov.sg/Newsroom/PM-Lee-Hsien-Loong-on-the-COVID19-situation-in-Singapore-on-3-April-2020    "
4688,Singapore,SGP,20200408,20200618.0,C6: Stay at home requirements,2.0,1.0,"comes into force on 8 April 2020. (2) Subject to paragraph (3), every individual must stay at or in, and not leave, his or her ordinary place of residence in Singapore. (3) An individual may leave the individual’s ordinary place of residence only  https://web.archive.org/save/https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annex-for-notification-8-apr-2020.pdf  "
4698,Singapore,SGP,20200619,,C6: Stay at home requirements,1.0,1.0,"People are encouraged to work from home wherever possible, and social distancing measures must be complied with, but there are no curfews or requirements in place.    https://archive.vn/qVq8N"
5798,South Africa,ZAF,20200326,20200531.0,C6: Stay at home requirements,2.0,1.0,"""From midnight on Thursday, March 26 until midnight on Thursday, April 16, all South Africans will have to stay at home""  https://web.archive.org/web/20200427205507/https://www.aljazeera.com/news/2020/03/south-africans-brace-21-day-lockdown-virus-cases-rise-200324073801136.html  "
5806,South Africa,ZAF,20200601,20200711.0,C6: Stay at home requirements,1.0,1.0,"Level 3 started at Jun 1st. While people are able to go to work in several industries, people are recommended to stay at home and work from home where possible.   https://web.archive.org/web/20200608204902/https://www.gov.za/documents/disaster-management-act-regulations-alert-level-3-during-coronavirus-covid-19-lockdown-28"
5808,South Africa,ZAF,20200712,,C6: Stay at home requirements,2.0,1.0,"On July 12th, amidst rising COVID cases, President Cyril Ramaphosa announced that the country would remain at level 3 lockdown but would reinstate nightime curfews.     Source  https://web.archive.org/web/20200713161631/https://www.reuters.com/article/us-health-coronavirus-safrica/south-africa-reimposes-alcohol-ban-curfew-as-coronavirus-cases-spike-idUSKCN24D0QU"
5597,United States,USA,20200315,20200719.0,C6: Stay at home requirements,2.0,0.0,"First stay at home orders on March 15th in Puerto Rico, March 19th in California, and so forth. For a good record of when these went into effect in each state: https://archive.vn/wip/XBuyE    There still remain a few states who have no enforced stay at home orders, and some states will begin their move away as of April 24th "
