,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",11284,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Blinding Lights","The Weeknd",8722,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Dance Monkey","Tones And I",8302,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"eMcimbini - Live","Kabza De Small",7343,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
5,"Godzilla (feat. Juice WRLD)",Eminem,6819,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
6,"Don't Start Now","Dua Lipa",6777,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,"Life Is Good (feat. Drake)",Future,6775,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
8,"Intentions (feat. Quavo)","Justin Bieber",6728,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,Circles,"Post Malone",6265,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
10,Falling,"Trevor Daniel",5803,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Memories,"Maroon 5",5722,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
12,"everything i wanted","Billie Eilish",5488,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,ROXANNE,"Arizona Zervas",5256,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"Roses - Imanbek Remix","SAINt JHN",5029,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
15,"You're the One",Elaine,4889,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
16,"Someone You Loved","Lewis Capaldi",4865,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Say So","Doja Cat",4832,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,"Sunday Best",Surfaces,4702,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,Yummy,"Justin Bieber",4529,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
20,"Beautiful People (feat. Khalid)","Ed Sheeran",4398,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
21,"High Fashion (feat. Mustard)","Roddy Ricch",4313,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
22,"Blueberry Faygo","Lil Mosey",4308,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",4184,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",4094,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
25,"Adore You","Harry Styles",4032,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,"Before You Go","Lewis Capaldi",4018,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
27,"death bed (coffee for your head)",Powfu,3958,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
28,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",3897,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
29,"Eastside (with Halsey & Khalid)","benny blanco",3833,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
30,"WHATS POPPIN","Jack Harlow",3697,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
31,"My Oh My (feat. DaBaby)","Camila Cabello",3667,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
32,Señorita,"Shawn Mendes",3622,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
33,Lorch,"Kabza De Small",3615,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
34,"bad guy","Billie Eilish",3599,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
35,"Lose Control",MEDUZA,3535,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
36,"No Time To Die","Billie Eilish",3522,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
37,"What A Man Gotta Do","Jonas Brothers",3333,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
38,"Forever (feat. Post Malone & Clever)","Justin Bieber",3329,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
39,"You should be sad",Halsey,3327,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
40,"Know Your Worth",Khalid,3298,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
41,Sandton,"Kabza De Small",3248,https://open.spotify.com/track/0ddnry07vtuLzEVK63bw3R
42,"B.S. (feat. H.E.R.)","Jhené Aiko",3174,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
43,Risky,Elaine,3165,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
44,"Phoyisa - Live","Kabza De Small",3133,https://open.spotify.com/track/004nEmGTeP5Mus4qXxz3x2
45,"Lose You To Love Me","Selena Gomez",3132,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
46,"hot girl bummer",blackbear,3096,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
47,"No Idea","Don Toliver",3096,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
48,Skechers,DripReport,3062,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
49,"After Hours","The Weeknd",3041,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
50,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3041,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
51,"That Way - Bonus Track","Lil Uzi Vert",3017,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
52,P2,"Lil Uzi Vert",3003,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
53,"lovely (with Khalid)","Billie Eilish",2979,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
54,"Ride It",Regard,2973,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
55,"Ballin' (with Roddy Ricch)",Mustard,2948,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
56,Takeaway,"The Chainsmokers",2889,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
57,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)","Mfr Souls",2839,https://open.spotify.com/track/2NbUnaGrjwRuRjZ5EPyOR5
58,"To Die For","Sam Smith",2770,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
59,"CITY OF ANGELS",24kGoldn,2755,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
60,"Never Seen the Rain","Tones And I",2750,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
61,Cardigan,"Don Toliver",2745,https://open.spotify.com/track/0Li1OuXXfi7950ilZUFGkF
62,Supalonely,BENEE,2677,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
63,"What If I Told You That I Love You","Ali Gatie",2642,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
64,"Watermelon Sugar","Harry Styles",2640,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
65,Happier,Marshmello,2607,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
66,"Lucid Dreams","Juice WRLD",2565,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
67,"If the World Was Ending - feat. Julia Michaels","JP Saxe",2525,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
68,"Nana Thula","Kabza De Small",2521,https://open.spotify.com/track/4tDBIoqZEnq6715SnqaJS7
