,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",586257,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
2,BRABA,"Luísa Sonza",524304,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg
3,"Don't Start Now","Dua Lipa",480256,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
4,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",448491,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
5,"Rave de Favela (feat. BEAM)","Major Lazer",437296,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
6,"Graveto - Ao Vivo","Marília Mendonça",377753,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
7,"Litrão - Ao Vivo","Matheus & Kauan",374851,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
8,"Te Prometo","Dennis DJ",342420,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
9,"S de Saudade","Luíza & Maurílio",334444,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
10,"Tudo no Sigilo (Vytinho NG e Bianca)","Vytinho NG",324911,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi
11,"Dance Monkey","Tones And I",301351,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,"Bebi Minha Bicicleta (Coração Falido) - Ao Vivo","Zé Neto & Cristiano",295161,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
13,Ranking,"Jorge & Mateus",291942,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS
14,SENTADÃO,"PEDRO SAMPAIO",286524,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
15,"Roses - Imanbek Remix","SAINt JHN",284571,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,"Com ou Sem Mim - Ao Vivo","Gustavo Mioto",277814,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
17,"Supera - Ao Vivo","Marília Mendonça",272533,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
18,"água com açúcar - ao vivo","Luan Santana",272375,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu
19,"BALANÇA (feat. Pedro Sampaio)","WC no Beat",271143,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
20,"Cheirosa - Ao Vivo","Jorge & Mateus",265312,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
21,"Vem Me Satisfazer","MC Ingryd",258949,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
22,"Volta por Baixo - Ao Vivo","Henrique & Juliano",257431,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
23,"3 Batidas - Ao Vivo","Guilherme & Benuto",244999,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
24,"Blinding Lights","The Weeknd",243976,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,"Break My Heart","Dua Lipa",234713,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
26,"death bed (coffee for your head)",Powfu,229956,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
27,"Barzinho Aleatório - Ao Vivo","Zé Neto & Cristiano",227438,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
28,"menina solta","Giulia Be",225680,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
29,"Combatchy (feat. MC Rebecca)",Anitta,224074,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
30,"Tijolão - Ao Vivo","Jorge & Mateus",216928,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
31,"Mentira - Ao Vivo","Felipe Araújo",216534,https://open.spotify.com/track/146Vb458Y5RbqEa0fYFPzm
32,"The Box","Roddy Ricch",211219,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
33,"Tudo Ok","Thiaguinho MT",203075,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
34,"Toosie Slide",Drake,197767,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
35,"Briga Feia - Ao Vivo","Henrique & Juliano",195207,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
36,"Serenata - Ao Vivo","Marília Mendonça",189892,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
37,"Aí Eu Bebo - Ao Vivo","Maiara & Maraisa",187831,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
38,"Surtada - Remix Brega Funk","Dadá Boladão",179771,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
39,"Amor de Que","Pabllo Vittar",179112,https://open.spotify.com/track/7vpGKEUPrA4UEsS4o4W1tP
40,"Carreira Solo - Ao Vivo","Gusttavo Lima",178263,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
41,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",177361,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
42,"Lençol Dobrado","João Gustavo e Murilo",176505,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
