,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,38019,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"death bed (coffee for your head)",Powfu,36456,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3,"Blinding Lights","The Weeknd",35152,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Don't Start Now","Dua Lipa",34192,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"Intentions (feat. Quavo)","Justin Bieber",31520,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,"Say So","Doja Cat",29690,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
7,Supalonely,BENEE,28078,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
8,"Dance Monkey","Tones And I",27781,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,"Blueberry Faygo","Lil Mosey",26846,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
10,Memories,"Maroon 5",26789,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
11,"Someone You Loved","Lewis Capaldi",26573,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Roses - Imanbek Remix","SAINt JHN",24414,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,WANNABE,ITZY,24092,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA
14,Falling,"Trevor Daniel",23008,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
15,"Break My Heart","Dua Lipa",22653,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
16,Circles,"Post Malone",21990,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,"Sunday Best",Surfaces,21090,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"The Box","Roddy Ricch",21034,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
19,"In Your Eyes","The Weeknd",19504,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
