,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1775616,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"THE SCOTTS","THE SCOTTS",1457592,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
3,"Solitaires (feat. Travis Scott)",Future,1260676,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
4,"Blueberry Faygo","Lil Mosey",1184000,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
5,"Blinding Lights","The Weeknd",1156482,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"Toosie Slide",Drake,1116589,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
7,GOOBA,6ix9ine,1097910,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
8,"The Box","Roddy Ricch",1012160,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
9,"All Bad (feat. Lil Uzi Vert)",Future,1004028,https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8
10,"Life Is Good (feat. Drake)",Future,976997,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
11,"Stuck with U (with Justin Bieber)","Ariana Grande",963142,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
12,"Trillionaire (feat. Youngboy Never Broke Again)",Future,940001,https://open.spotify.com/track/740kQ8xwSGloumdiKR5Cwz
13,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",906894,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
14,"Roses - Imanbek Remix","SAINt JHN",903435,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
15,"Trapped In The Sun",Future,902422,https://open.spotify.com/track/6QeUzTuBoasiii8nevDciq
16,"WHATS POPPIN","Jack Harlow",845624,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
17,"Party Girl",StaySolidRocky,754878,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
18,"After Party","Don Toliver",754810,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
19,"HiTek Tek",Future,748562,https://open.spotify.com/track/5v1STk4ZTTDrhgCs6LD3nd
20,Righteous,"Juice WRLD",747667,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
21,"Ridin Strikers",Future,733611,https://open.spotify.com/track/6PHbWsTTlmQKF9i9VC1KFv
22,"Say So (feat. Nicki Minaj)","Doja Cat",728281,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
23,"Touch The Sky",Future,699509,https://open.spotify.com/track/29s4u1adFGLWtGehbR5xkq
24,"Sunday Best",Surfaces,695621,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
25,Circles,"Post Malone",682834,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
26,"death bed (coffee for your head)",Powfu,679634,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
27,"Flex (feat. Juice WRLD)","Polo G",674035,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
28,"Don't Start Now","Dua Lipa",665055,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
29,"Intentions (feat. Quavo)","Justin Bieber",663422,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
30,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",661150,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
31,"Harlem Shake (feat. Young Thug)",Future,652956,https://open.spotify.com/track/3cFHCXuBZKMJd8Q4Wt8RB3
32,"Lose Somebody",Kygo,644483,https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3
33,"Go Stupid","Polo G",627352,https://open.spotify.com/track/4PklAHGXT5ityno3IA8SKd
34,"Say So","Doja Cat",626807,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
35,"One Of My",Future,626211,https://open.spotify.com/track/12ZpiGAd2uPgJiofgoZMue
36,Supalonely,BENEE,620324,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
37,"Hard To Choose One",Future,608323,https://open.spotify.com/track/66z5CuZkqkb18VhFTRwbZk
38,"Posted With Demons",Future,601321,https://open.spotify.com/track/7enaBBJnekyUCcXRuwGEH6
39,"Be Kind (with Halsey)",Marshmello,594939,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
40,ROXANNE,"Arizona Zervas",581121,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
41,Excitement,"Trippie Redd",580574,https://open.spotify.com/track/3WnTQDd9A3bpBfzCziElU9
42,"Adore You","Harry Styles",576305,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
43,Daisies,"Katy Perry",574527,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
44,Falling,"Trevor Daniel",570035,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
45,"Chicago Freestyle (feat. Giveon)",Drake,566718,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
46,"Be Something (feat. Lil Baby)","Polo G",563663,https://open.spotify.com/track/65jw6GhwQW3Db55PxlPEpS
47,"Racks 2 Skinny",Migos,540645,https://open.spotify.com/track/568OIKgeHyGRD3uWR44JbO
48,"High Fashion (feat. Mustard)","Roddy Ricch",534792,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
49,"Break My Heart","Dua Lipa",522746,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
50,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",514385,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
51,"Beautiful Pain (Losin My Mind)","Polo G",513392,https://open.spotify.com/track/4SIB2yxKoFOrbkjA4zfQbB
52,goosebumps,"Travis Scott",512792,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
53,"Turks (with Gunna & ft. Travis Scott)",NAV,506146,https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2
54,"Up the River",Future,505645,https://open.spotify.com/track/5i8AHhRU9tfp8c3drQetaa
55,"HIGHEST IN THE ROOM","Travis Scott",500179,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
56,"X (with KAROL G)","Jonas Brothers",499494,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
57,"Play Date","Melanie Martinez",499418,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
58,"Too Comfortable",Future,498112,https://open.spotify.com/track/0biVzpdI2z0vAxwfU9xuuA
