,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Superclassico,Ernia,348677,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
2,"A Un Passo Dalla Luna","Rocco Hunt",327672,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
3,"Chico (feat. Rose Villain & Luchè)","Guè Pequeno",300095,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
4,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,296916,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
5,Hypnotized,"Purple Disco Machine",257405,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
6,Mediterranea,Irama,249506,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
7,"Paloma (feat. Anitta)","Fred De Palma",234722,https://open.spotify.com/track/0HFkCSXRTUHCYJ148PdD0v
8,"Te lo prometto","Il Tre",224168,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
9,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,221705,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
10,Karaoke,Boomdabash,220209,https://open.spotify.com/track/2STofNXiqf84du1LeN5FYn
11,"Bimbi Per Strada (Children)",Fedez,200444,https://open.spotify.com/track/6KF78W66DcQ9m5YqR0r5Ig
12,Spigoli,"Carl Brave",193772,https://open.spotify.com/track/1XQvMjA9IiIx1lAiTHSxQi
13,"Breaking Me",Topic,189716,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
14,"Non mi basta più (feat. Chiara Ferragni)","Baby K",175826,https://open.spotify.com/track/5ZUeBvBEH8hpdLMW3yCmHb
15,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)","Takagi & Ketra",169866,https://open.spotify.com/track/2YGqtxaGdML9aM5jCwgRw9
16,Autostop,Shade,168466,https://open.spotify.com/track/5ZgeeXOHGYUn0K3kuICyw9
17,"SOLDI SULLA CARTA","FSK SATELLITE",162161,https://open.spotify.com/track/0vCNtIwkFXbgN3W8U726Je
18,"Il bacio di Klimt","Emanuele Aloia",156234,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
19,"Sono un bravo ragazzo un po' fuori di testa",Random,154253,https://open.spotify.com/track/5EXLYWZGnmYC01H53WUAhi
20,"Savage Love (Laxed - Siren Beat)","Jawsh 685",153746,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
21,Caramelo,Ozuna,146628,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
